timestamp,lap time,stroke count,stroke type
2024-10-16T00:37:10Z,00:00:11.000,7,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-16T00:55:03Z,00:00:24.000,12,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-16T01:21:09Z,00:00:32.000,15,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-16T01:22:32Z,00:00:10.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-16T01:24:21Z,00:00:35.000,13,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-16T01:25:58Z,00:00:25.000,13,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-16T01:26:49Z,00:00:23.000,10,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-16T01:28:17Z,00:00:25.000,7,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-16T01:28:49Z,00:00:13.000,8,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-16T01:30:04Z,00:00:25.000,14,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-16T13:54:03Z,00:00:13.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-16T18:23:49Z,00:00:12.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-17T14:31:13Z,00:00:10.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-17T19:48:04Z,00:00:13.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-18T00:57:18Z,00:00:14.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-18T01:45:40Z,00:00:16.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-18T01:48:51Z,00:00:30.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-18T19:38:25Z,00:00:11.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-18T19:40:17Z,00:00:35.000,18,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-18T19:41:18Z,00:00:34.000,9,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-18T19:42:15Z,00:00:24.000,14,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-18T20:15:09Z,00:00:25.000,8,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-18T20:15:48Z,00:00:14.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-19T01:10:06Z,00:00:11.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-19T13:14:15Z,00:00:11.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-19T15:36:42Z,00:00:17.000,7,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-19T20:30:24Z,00:00:13.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-19T20:33:04Z,00:00:18.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-19T20:34:42Z,00:00:20.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-19T20:41:01Z,00:00:17.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-19T22:26:45Z,00:00:16.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-19T22:42:23Z,00:00:19.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-19T22:59:04Z,00:00:38.000,7,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-19T23:00:46Z,00:00:33.000,7,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-19T23:24:54Z,00:00:29.000,11,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-19T23:26:20Z,00:00:17.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-19T23:27:25Z,00:00:08.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-19T23:42:23Z,00:00:15.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-20T04:43:07Z,00:00:13.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-20T04:44:18Z,00:00:11.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-20T04:44:37Z,00:00:14.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-20T04:45:23Z,00:00:08.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-20T12:16:27Z,00:00:18.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
